sample_idx,min_ade,min_fde,best_ade_k,best_fde_k,conf_ade,conf_fde,conf_k,conf_prob
463,0.04471336677670479,0.2075488120317459,1,1,0.04471336677670479,0.2075488120317459,1,0.9971810579299927
726,0.08729635924100876,0.1210564523935318,1,1,0.08729635924100876,0.1210564523935318,1,0.8752084970474243
2762,0.0923364982008934,0.064744733273983,5,5,0.0923364982008934,0.064744733273983,5,0.5040925741195679
371,0.1509939730167389,0.3611244261264801,1,1,0.1509939730167389,0.3611244261264801,1,0.8055395483970642
2077,0.03929777070879936,0.08459599316120148,1,1,0.03929777070879936,0.08459599316120148,1,0.983173131942749
716,0.09282651543617249,0.40886950492858887,1,5,0.48085376620292664,0.40886950492858887,5,0.504027247428894
2737,0.035046108067035675,0.08092542737722397,1,1,0.035046108067035675,0.08092542737722397,1,0.996480405330658
1334,0.09838404506444931,0.1583932787179947,1,1,0.09838404506444931,0.1583932787179947,1,0.667782723903656
1125,0.1413699984550476,0.17633038759231567,5,5,0.2714484632015228,0.38235729932785034,1,0.6029161214828491
1408,0.02013809233903885,0.04168493673205376,1,1,0.02013809233903885,0.04168493673205376,1,0.899903416633606
599,0.14830894768238068,0.29581204056739807,5,5,0.1829320341348648,0.48844873905181885,1,0.7473171949386597
3283,0.9289517402648926,1.176399827003479,3,3,0.9289517402648926,1.176399827003479,3,0.7848535180091858
223,0.09705253690481186,0.1635146290063858,1,1,0.09705253690481186,0.1635146290063858,1,0.7711312174797058
633,0.024208704009652138,0.07986495643854141,1,1,0.024208704009652138,0.07986495643854141,1,0.8311555981636047
1312,0.021556733176112175,0.06045202538371086,1,1,0.021556733176112175,0.06045202538371086,1,0.8988146185874939
1062,0.0431097187101841,0.09074127674102783,1,1,0.0431097187101841,0.09074127674102783,1,0.9183028340339661
2249,0.046982135623693466,0.03508644551038742,1,1,0.046982135623693466,0.03508644551038742,1,0.9964052438735962
1713,0.5405736565589905,0.9756456613540649,2,2,0.5405736565589905,0.9756456613540649,2,0.4150962233543396
425,0.13657663762569427,0.10251348465681076,1,1,0.4739837944507599,0.8210663199424744,5,0.49841076135635376
549,0.14836926758289337,0.13855868577957153,5,1,0.1818266063928604,0.13855868577957153,1,0.6069618463516235
2512,0.10487014055252075,0.0348890945315361,5,5,0.19035202264785767,0.2487863451242447,1,0.7129811644554138
1140,0.04739287868142128,0.1180899515748024,1,1,0.04739287868142128,0.1180899515748024,1,0.9710739850997925
2709,0.034322429448366165,0.06935322284698486,1,1,0.034322429448366165,0.06935322284698486,1,0.9970003962516785
2016,0.08703979849815369,0.029047474265098572,1,1,0.08703979849815369,0.029047474265098572,1,0.6787217855453491
893,3.0451736450195312,1.942341685295105,3,3,3.0451736450195312,1.942341685295105,3,0.7683025002479553
1697,0.044743239879608154,0.09667638689279556,1,1,0.044743239879608154,0.09667638689279556,1,0.9928067922592163
1008,1.7282291650772095,4.716085910797119,3,3,1.7282291650772095,4.716085910797119,3,0.9195141196250916
1419,0.4639104902744293,0.643154501914978,4,4,0.4639104902744293,0.643154501914978,4,0.42957019805908203
1744,0.04663732647895813,0.10748849809169769,1,1,0.04663732647895813,0.10748849809169769,1,0.9838238954544067
93,6.974609375,19.440547943115234,3,3,6.974609375,19.440547943115234,3,0.8267211318016052
77,0.03168133273720741,0.06559422612190247,1,1,0.03168133273720741,0.06559422612190247,1,0.9900355935096741
639,0.03633839637041092,0.010976279154419899,1,1,0.03633839637041092,0.010976279154419899,1,0.8298019170761108
1913,0.7830391526222229,1.8550633192062378,3,3,0.7830391526222229,1.8550633192062378,3,0.9914020895957947
2227,0.04294228181242943,0.09424826502799988,1,1,0.04294228181242943,0.09424826502799988,1,0.9665366411209106
3446,0.2578064501285553,0.15992137789726257,5,1,0.2967604100704193,0.15992137789726257,1,0.4697602391242981
498,0.028942152857780457,0.06192440167069435,1,1,0.028942152857780457,0.06192440167069435,1,0.8450520038604736
